date,city,pollutant_type,pm25,year,facility_type,number,beds
2019-05-10,Lahore,PM 2.5,231,2019,National,,
2019-05-11,Lahore,PM 2.5,171,2019,National,,
2019-05-12,Lahore,PM 2.5,209,2019,National,,
2019-05-13,Lahore,PM 2.5,188,2019,National,,
2019-05-14,Lahore,PM 2.5,194,2019,National,,
2019-05-15,Lahore,PM 2.5,145,2019,National,,
2019-05-16,Lahore,PM 2.5,182,2019,National,,
2019-05-17,Lahore,PM 2.5,173,2019,National,,
2019-05-18,Lahore,PM 2.5,177,2019,National,,
2019-05-19,Lahore,PM 2.5,156,2019,National,,
2019-05-20,Lahore,PM 2.5,184,2019,National,,
2019-05-21,Lahore,PM 2.5,167,2019,National,,
2019-05-22,Lahore,PM 2.5,171,2019,National,,
2019-05-23,Lahore,PM 2.5,231,2019,National,,
2019-05-24,Lahore,PM 2.5,139,2019,National,,
2019-05-25,Lahore,PM 2.5,141,2019,National,,
2019-05-26,Lahore,PM 2.5,129,2019,National,,
2019-05-27,Lahore,PM 2.5,157,2019,National,,
2019-05-28,Lahore,PM 2.5,161,2019,National,,
2019-05-29,Lahore,PM 2.5,179,2019,National,,
2019-05-30,Lahore,PM 2.5,198,2019,National,,
2019-05-31,Lahore,PM 2.5,249,2019,National,,
2019-06-01,Lahore,PM 2.5,185,2019,National,,
2019-06-02,Lahore,PM 2.5,222,2019,National,,
2019-06-03,Lahore,PM 2.5,170,2019,National,,
2019-06-04,Lahore,PM 2.5,223,2019,National,,
2019-06-05,Lahore,PM 2.5,153,2019,National,,
2019-06-06,Lahore,PM 2.5,157,2019,National,,
2019-06-07,Lahore,PM 2.5,129,2019,National,,
2019-06-08,Lahore,PM 2.5,149,2019,National,,
2019-06-09,Lahore,PM 2.5,156,2019,National,,
2019-06-10,Lahore,PM 2.5,160,2019,National,,
2019-06-11,Lahore,PM 2.5,168,2019,National,,
2019-06-12,Lahore,PM 2.5,171,2019,National,,
2019-06-13,Lahore,PM 2.5,160,2019,National,,
2019-06-14,Lahore,PM 2.5,142,2019,National,,
2019-06-15,Lahore,PM 2.5,156,2019,National,,
2019-06-16,Lahore,PM 2.5,188,2019,National,,
2019-06-17,Lahore,PM 2.5,154,2019,National,,
2019-06-18,Lahore,PM 2.5,153,2019,National,,
2019-06-19,Lahore,PM 2.5,128,2019,National,,
2019-06-20,Lahore,PM 2.5,169,2019,National,,
2019-06-21,Lahore,PM 2.5,153,2019,National,,
2019-06-22,Lahore,PM 2.5,188,2019,National,,
2019-06-23,Lahore,PM 2.5,159,2019,National,,
2019-06-24,Lahore,PM 2.5,160,2019,National,,
2019-06-25,Lahore,PM 2.5,163,2019,National,,
2019-06-26,Lahore,PM 2.5,176,2019,National,,
2019-06-27,Lahore,PM 2.5,166,2019,National,,
2019-06-28,Lahore,PM 2.5,135,2019,National,,
2019-06-29,Lahore,PM 2.5,186,2019,National,,
2019-06-30,Lahore,PM 2.5,151,2019,National,,
2019-07-01,Lahore,PM 2.5,149,2019,National,,
2019-07-02,Lahore,PM 2.5,152,2019,National,,
2019-07-03,Lahore,PM 2.5,156,2019,National,,
2019-07-04,Lahore,PM 2.5,158,2019,National,,
2019-07-05,Lahore,PM 2.5,154,2019,National,,
2019-07-06,Lahore,PM 2.5,124,2019,National,,
2019-07-07,Lahore,PM 2.5,141,2019,National,,
2019-07-08,Lahore,PM 2.5,149,2019,National,,
2019-07-09,Lahore,PM 2.5,155,2019,National,,
2019-07-10,Lahore,PM 2.5,127,2019,National,,
2019-07-11,Lahore,PM 2.5,153,2019,National,,
2019-07-12,Lahore,PM 2.5,139,2019,National,,
2019-07-13,Lahore,PM 2.5,171,2019,National,,
2019-07-14,Lahore,PM 2.5,139,2019,National,,
2019-07-15,Lahore,PM 2.5,89,2019,National,,
2019-07-16,Lahore,PM 2.5,137,2019,National,,
2019-07-17,Lahore,PM 2.5,119,2019,National,,
2019-07-18,Lahore,PM 2.5,103,2019,National,,
2019-07-19,Lahore,PM 2.5,119,2019,National,,
2019-07-20,Lahore,PM 2.5,133,2019,National,,
2019-07-21,Lahore,PM 2.5,136,2019,National,,
2019-07-22,Lahore,PM 2.5,135,2019,National,,
2019-07-23,Lahore,PM 2.5,156,2019,National,,
2019-07-24,Lahore,PM 2.5,164,2019,National,,
2019-07-25,Lahore,PM 2.5,156,2019,National,,
2019-07-26,Lahore,PM 2.5,105,2019,National,,
2019-07-27,Lahore,PM 2.5,103,2019,National,,
2019-07-28,Lahore,PM 2.5,108,2019,National,,
